	title	courier_id	record_number	page_numbers
0	1 + 1 = 3: every day over 200,000 more mouths to feed	074873	50290	[(3, '3'), (4, '4')]
1	The Grinding arithmetic for the year 2000	074873	50292	[(3, '3'), (9, '9')]
2	Population control? Economic development would be simplified by a drastic reduction of fertility in the less developed countries	074873	50314	[]
3	Population control? Population growth produces better economic performance in the long run than does a stationary population	074873	50316	[]
4	Population growth or economic growth? It's one or the other say some; a phony problem say others	074873	50291	[(3, '3'), (6, '6')]
5	A Startling picture a century from today: world population growth cannot possibly stop before at least a century, the U.N. says	074873	50310	[(3, '3'), (15, '15')]
6	A U.N. inquiry on government population policies	074873	50312	[(3, '3'), (20, '20')]
7	1,000 million lives in danger	064696	64362	[(3, '3'), (6, '6')]
8	Battery of new drugs joins battle with world's most costly disease	064696	64544	[]
9	How long do they live?	064696	64556	[(3, '3'), (30, '30'), (32, '32')]
10	Outwitting the wily anopheles	064696	64540	[(3, '3'), (12, '12')]
11	Spectre of death or slavery	064696	64364	[(3, '3'), (9, '9')]
12	The Story of place names	064696	64554	[(3, '3'), (26, '26')]
13	U.S.S.R. sees victory ahead in 40 year war on malaria	064696	64543	[(17, '17')]
14	Was ancient Greece vanquished by malaria?	064696	64541	[(3, '3'), (14, '14')]
15	What shall we gain by the conquest of space?	064696	64545	[(3, '3')]
16	World assault against a single enemy: malaria	064696	64359	[]
17	10 major cloud types	074891	51741	[(3, '3')]
18	50 world weather records	074891	51711	[(3, '3'), (14, '14')]
19	An ABC of meteorology	074891	51740	[(3, '3')]
20	Build your own weather station	074891	51743	[(3, '3')]
21	Drought over Africa	074891	51750	[(3, '3'), (43, '43'), (45, '45'), (67, '67')]
22	Every proverb has a silver lining	074891	51771	[(3, '3'), (60, '60'), (61, '61')]
23	Is the earth's climate changing? For the past 30 years the temperature of our planet has been steadily dropping	074891	51708	[]
24	Long-range forecasting of drought and floods; is there any chance that present forecasts can be extended beyond a month?	074891	51757	[(47, '47')]
25	Making the weather pay off; an international report reveals the important changes meteorology is bringing to economic and social development	074891	51739	[(23, '23')]
26	"Operation ""Gate"", 35 countries assemble a scientific armada to study atmospheric phenomena in the tropical Atlantic"	074891	51712	[]
27	The Seasons of the Nile: a weather and farming calendar from the time of the Pharaohs	074891	51772	[(62, '62')]
28	A Short guide to weather-speak	074891	51744	[(3, '3'), (38, '38')]
29	Unlocking the secrets of tomorrow's weather	074891	51703	[(3, '3'), (4, '4')]
30	Weather lore down the ages: a meteorologist discusses facts and fancies of traditional weather-wise sayings	074891	51769	[]
31	What can we do about tropical cyclones? The answer is 'quite a lot': an early-warning system now exists, but...	074891	51761	[(51, '51')]
32	100 wars and other conflicts since World War II	078379	56977	[(23, '23')]
33	10th anniversary of U.N. Declaration on the Independence of Colonial Peoples	078379	56971	[(14, '14')]
34	The Arms race, escalation of total madness	078379	56969	[(3, '3'), (5, '5')]
35	The Education revolution in Latin America	078379	56978	[(3, '3'), (25, '25'), (36, '36')]
36	The Horror of bacteriological and chemical weaponry	078379	56973	[(15, '15')]
37	Peace research; the science of survival	078379	56975	[(3, '3'), (21, '21'), (30, '30')]
