courier_id	page	count	page_corr	found	not_found
014255	36	2	36	0	2
015480	12	2	12	0	2
016653	15	2	15	1	1
016653	30	2	29	1	1
028352	12	2	12	0	2
033144	14	2	14	1	1
033144	44	2	44	0	2
044064	15	2	15	1	1
046076	32	2	32	1	1
046076	70	2	70	1	1
046076	72	2	72	0	2
046520	6	2	6	0	2
049738	24	2	24	0	2
050399	8	2	8	0	2
050399	20	2	20	0	2
050495	26	2	25	0	2
052257	4	2	4	1	1
052257	6	2	6	1	1
052879	16	2	16	2	0
052879	17	2	17	0	2
056740	6	2	6	1	1
056740	13	2	13	0	2
056743	24	2	24	0	2
057247	40	2	40	0	2
057783	6	2	6	1	1
058738	28	2	27	0	2
058953	8	2	8	1	1
058953	20	2	20	1	1
059301	30	2	30	1	1
059301	31	2	31	0	2
060510	52	2	52	1	1
060703	16	2	16	2	0
060718	25	2	25	0	2
060718	27	2	27	1	1
061392	15	2	15	0	2
061953	12	2	12	0	2
061953	13	2	13	0	2
062188	18	2	18	0	2
062315	6	2	6	1	1
062315	7	2	7	0	2
062315	8	2	8	0	2
062315	9	2	9	0	2
062315	10	2	10	0	2
062315	11	2	11	0	2
062315	12	2	12	0	2
062315	13	2	13	0	2
062315	14	2	14	0	2
062315	15	2	15	0	2
062315	16	2	16	1	1
062315	17	2	17	0	2
062352	16	2	16	1	1
062393	24	2	24	0	2
062404	26	2	25	1	1
062882	31	2	31	1	1
062882	33	2	33	2	0
062906	7	2	7	0	2
062906	8	2	8	0	2
062906	10	2	10	0	2
063436	10	2	10	0	2
063436	22	2	22	0	2
063436	23	2	23	0	2
063438	4	2	4	0	2
064501	13	2	13	1	1
064690	15	2	15	0	2
064696	32	2	32	1	1
064895	6	2	6	1	1
066121	16	2	16	0	2
066121	21	2	21	1	1
066148	32	2	31	0	2
066182	28	2	28	1	1
066321	12	2	12	1	1
066675	24	2	24	0	2
066943	4	2	4	1	1
066943	5	2	5	0	2
066943	6	2	6	0	2
066943	7	2	7	0	2
066943	8	2	8	0	2
066943	9	2	9	1	1
066943	10	2	10	0	2
066943	11	2	11	0	2
066943	12	2	12	0	2
066943	13	2	13	0	2
066943	14	2	14	0	2
066943	15	2	15	1	1
066943	16	2	16	1	1
066943	17	2	17	0	2
067218	16	2	16	1	1
067651	37	2	37	1	1
067651	45	2	45	1	1
067651	49	2	49	1	1
067988	39	2	39	1	1
068057	24	2	24	1	1
068057	28	2	28	2	0
